Date:	7/23/2012								
measured by:	Omer	 System:	ambient probe station						
Remeasuring second rounbd of devices. Had been sitting under (mild) vacuum. Lamp at about 65 W									
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.4BG light	 	.3 Light	 	.2 Big Light	 	.4SG Light	 	.2Small Light
0.2200	-1.80E-4	0.2200	-2.26E-4	0.2200	3.10E-4	0.2200	-1.43E-3	0.2200	-1.32E-4
0.2300	-1.39E-4	0.2300	-1.89E-4	0.2300	4.16E-4	0.2300	-1.33E-3	0.2300	-1.13E-4
0.2400	-1.02E-4	0.2400	-1.56E-4	0.2400	5.22E-4	0.2400	-1.23E-3	0.2400	-9.43E-5
0.2500	-6.94E-5	0.2500	-1.27E-4	0.2500	6.26E-4	0.2500	-1.12E-3	0.2500	-7.81E-5
0.2600	-3.95E-5	0.2600	-1.02E-4	0.2600	7.30E-4	0.2600	-1.03E-3	0.2600	-6.34E-5
0.2700	-1.14E-5	0.2700	-7.95E-5	0.2700	8.34E-4	0.2700	-9.30E-4	0.2700	-5.05E-5
0.2800	1.49E-5	0.2800	-6.07E-5	0.2800	9.36E-4	0.2800	-8.37E-4	0.2800	-3.92E-5
0.2900	4.16E-5	0.2900	-4.50E-5	0.2900	1.04E-3	0.2900	-7.48E-4	0.2900	-2.98E-5
0.3000	6.94E-5	0.3000	-3.22E-5	0.3000	1.14E-3	0.3000	-6.62E-4	0.3000	-2.19E-5
0.3100	9.90E-5	0.3100	-2.22E-5	0.3100	1.24E-3	0.3100	-5.82E-4	0.3100	-1.56E-5
0.3200	1.32E-4	0.3200	-1.47E-5	0.3200	1.34E-3	0.3200	-5.05E-4	0.3200	-1.07E-5
0.3300	1.68E-4	0.3300	-9.18E-6	0.3300	1.44E-3	0.3300	-4.35E-4	0.3300	-7.14E-6
0.3400	2.08E-4	0.3400	-5.16E-6	0.3400	1.54E-3	0.3400	-3.69E-4	0.3400	-4.61E-6
0.3500	2.54E-4	0.3500	-2.23E-6	0.3500	1.64E-3	0.3500	-3.08E-4	0.3500	-2.83E-6
0.3600	3.04E-4	0.3600	-8.66E-8	0.3600	1.74E-3	0.3600	-2.53E-4	0.3600	-1.60E-6
0.3700	3.60E-4	0.3700	1.52E-6	0.3700	1.84E-3	0.3700	-2.03E-4	0.3700	-7.49E-7
0.3800	4.22E-4	0.3800	2.97E-6	0.3800	1.94E-3	0.3800	-1.59E-4	0.3800	-1.25E-7
0.3900	4.89E-4	0.3900	4.32E-6	0.3900	2.04E-3	0.3900	-1.22E-4	0.3900	3.46E-7
0.4000	5.61E-4	0.4000	5.71E-6	0.4000	2.15E-3	0.4000	-9.00E-5	0.4000	7.31E-7
0.4100	6.38E-4	0.4100	7.23E-6	0.4100	2.25E-3	0.4100	-6.34E-5	0.4100	1.10E-6
0.4200	7.21E-4	0.4200	8.94E-6	0.4200	2.35E-3	0.4200	-4.24E-5	0.4200	1.47E-6
0.4300	8.08E-4	0.4300	1.09E-5	0.4300	2.46E-3	0.4300	-2.64E-5	0.4300	1.86E-6
0.4400	9.01E-4	0.4400	1.31E-5	0.4400	2.57E-3	0.4400	-1.43E-5	0.4400	2.30E-6
0.4500	9.97E-4	0.4500	1.56E-5	0.4500	2.67E-3	0.4500	-5.38E-6	0.4500	2.78E-6
0.4600	1.10E-3	0.4600	1.85E-5	0.4600	2.78E-3	0.4600	1.30E-6	0.4600	3.33E-6
0.4700	1.20E-3	0.4700	2.18E-5	0.4700	2.89E-3	0.4700	6.25E-6	0.4700	3.95E-6
